Ativo1,Ativo2,P-valor,Cointegrado?,N_observacoes
XRP,TRX,0.0007,True,183
LTC,AVAX,0.00081,True,183
ADA,LTC,0.00318,True,183
BNB,TRX,0.01419,True,183
TRX,AVAX,0.01583,True,183
BNB,XRP,0.02423,True,183
ADA,TRX,0.02939,True,183
SOL,SHIB,0.0364,True,183
BTC,TRX,0.04943,True,183
TRX,BCH,0.05283,False,183
BTC,BNB,0.05671,False,183
SOL,DOGE,0.0653,False,183
XRP,LTC,0.06535,False,183
BCH,AVAX,0.06575,False,183
BTC,AVAX,0.06869,False,183
ETH,DOT,0.08025,False,183
ADA,AVAX,0.08315,False,183
BTC,ADA,0.08715,False,183
ADA,BCH,0.08864,False,183
BNB,ADA,0.09172,False,183
BNB,LTC,0.0941,False,183
DOGE,TRX,0.10782,False,183
DOT,BCH,0.12193,False,183
ETH,ADA,0.13181,False,183
BNB,DOGE,0.13243,False,183
SOL,BCH,0.14851,False,183
BTC,SHIB,0.14927,False,183
BTC,DOT,0.16383,False,183
DOGE,SHIB,0.16721,False,183
SOL,AVAX,0.16844,False,183
DOGE,BCH,0.17088,False,183
SOL,TRX,0.1795,False,183
LTC,TRX,0.18282,False,183
BNB,AVAX,0.18432,False,183
ETH,XRP,0.1906,False,183
BTC,DOGE,0.19505,False,183
SOL,LTC,0.19946,False,183
ETH,TRX,0.20082,False,183
ETH,DOGE,0.22889,False,183
ADA,DOGE,0.23323,False,183
ETH,BCH,0.24866,False,183
TRX,SHIB,0.24904,False,183
LTC,BCH,0.25506,False,183
TON,AVAX,0.25637,False,145
BTC,LTC,0.27637,False,183
SHIB,AVAX,0.30321,False,183
TRX,DOT,0.3116,False,183
ADA,XRP,0.31339,False,183
XRP,BCH,0.35025,False,183
LTC,SHIB,0.35817,False,183
LTC,DOT,0.36735,False,183
SOL,DOT,0.36799,False,183
DOGE,LTC,0.37131,False,183
SOL,ADA,0.37698,False,183
XRP,AVAX,0.38439,False,183
ETH,LTC,0.39555,False,183
SHIB,BCH,0.43016,False,183
BNB,SHIB,0.43784,False,183
DOGE,AVAX,0.44947,False,183
TRX,TON,0.48303,False,145
BTC,BCH,0.49302,False,183
DOGE,DOT,0.49677,False,183
BNB,SOL,0.5124,False,183
BTC,XRP,0.52541,False,183
BTC,ETH,0.53119,False,183
DOT,SHIB,0.54248,False,183
ETH,SOL,0.54671,False,183
DOT,AVAX,0.57598,False,183
SOL,XRP,0.60688,False,183
ADA,SHIB,0.60735,False,183
BTC,SOL,0.67214,False,183
ETH,SHIB,0.67454,False,183
ETH,AVAX,0.69329,False,183
XRP,DOT,0.69929,False,183
ADA,DOT,0.71057,False,183
XRP,DOGE,0.7247,False,183
SHIB,TON,0.73194,False,145
BNB,DOT,0.74172,False,183
LTC,TON,0.7493,False,145
BCH,TON,0.76333,False,145
DOT,TON,0.76875,False,145
BNB,ETH,0.77175,False,183
BNB,TON,0.80084,False,145
XRP,SHIB,0.81346,False,183
BTC,TON,0.81451,False,145
DOGE,TON,0.81545,False,145
ETH,TON,0.81647,False,145
ADA,TON,0.8269,False,145
SOL,TON,0.86334,False,145
BNB,BCH,0.87951,False,183
XRP,TON,0.92017,False,145
